concept,AGTA,AKLANON,ARTA,ATTA PAMPLONA,BAJAU WEST COAST,BALANGAW,BALANGINGI SAMA,BANTON BANTOANON,BASQUE,BATAK PALAWAN,BILAAN KORONADAL,BILAAN SARANGANI,BONGGI,BONTOC GUINAANG,BUHI,BUKIDNON BINUKID,BUTUANON,CAIJIA,CEBUANO,CENTRAL TAGBANWA,CUYONON,DARAGA,DUMAGAT CASIGURAN,DUPANINGAN AGTA,ENGLISH,ESKAYAN,ESTONIAN,FINNISH,FUZHOU CHINESE,GADDANG,HANUNOO,HIGAONON BINUKID,HUNGARIAN,IBANAG,IDAAN,IFUGAO AMGANAD,IFUGAO BATAD,IFUGAO BAYNINAN,ILOKANO,ILONGOT KAKIDUGEN,INIBALOI,IRANUN,IRIGA,ISNAG,ITAWIT,ITNEG BINONGAN,JAPANESE,KADAZAN,KAGAYANEN,KALAGAN,KALINGA GUINAANG,KALINGA LIMOS,KALLAHAN KAYAPA PROPER,KANKANAY NORTHERN,KAPAMPANGAN,KINARAY A,KOREAN,LEGAZPI,LIBON,LIVE,MAMANWA,MANIDE,MANOBO ATA,MANOBO DIBABAWON,MANOBO ILIANEN,MANOBO KALAMANSIG COTABATO,MANOBO SARANGANI,MANOBO TIGWA,MANOBO WESTERN BUKIDNON,MANSAKA,MAPUN,MARANAO,MASBATENYO,MINANGALI LOWER TANUDAN KALINGA,MOKSHA,MOLBOG,MONGOLIAN,MORO MAGINDANAU,NORTHERN CATANDUANES,NORTHERN SORSOGON,OAS,PALAWANO BATAK,PANGASINAN,PANGUTARAN SAMA,PROTO PALAWAN,QUEZON PALAWAN,ROMBLOMANON 2,SAMAL,SAMBAL BOTOLAN,SANGIL SARANGANI ISLANDS,SEDANG,SIBUTU SOUTHERN SAMA,SOGODNIN BORACAY,SOUTH SAAMI,SOUTHERN CATANDUANES,SOUTHERN SORSOGON,SOUTHWEST PALAWANO,SPANISH,SUBANON SIOCON,SUBANUN SINDANGAN,SURIGAONON,TAGABAWA,TAGABILI,TAGALOG,TAGBANWA ABORLAN,TAGBANWA KALAMIAN,TAUSUG,TIMUGON MURUT,TIRURAY,TURKISH,UGARITIC,UMIRAY DUMAGET AGTA,WARAY WARAY,YAKAN,YOGAD,ZAMBOANGUENO,IMOROD,BABUYAN,BISAYA SABAH,CAPIZNON,FINALLIG,HILIGAYNON,INABAKNON,KALAGAN KAAGAN,KANKANAEY,MANDAYAN BOSO,MANDAYAN ISLAM PISO,SINAUNA,SOUTHERN KALINGA
new,bagu,bag7~uh,buru,bagu,NA,ka77amma,baha7u,bagqo,berri,ba7gu,falami,falami,baru,balo,bagqu,bag7u,bago,Sin,bagu,bago,bago7,baqgu,bigu7,bigu7,nu,tibil,us,uusi,8iN,bawu,bad7u,bag7u,ij,bagu,bagku,pa77ala,pa77amma,balu,baro,b3gu,bado,bagu,bagu,baru,bEhu,NA,ataraSi,vagu,bag7~u,bagu,a77opya,bagu,ballu,balo,bayu,bag7~o,sEroun,baqgu,bagu,uc,bag7o,be7gi,iam,baya7,b3hu,magtu,kaliN,bag7u,b3gu,bagu,bahau,bego,bago,kaka8a,od,bagu,Sin,bagu,baqgu,bagqu,baqgu,bagu,balo,bahu,ba7gu,ba7gu,bag7u,baha7u,bayo,buru,neo,bahau,badyo,or3,bagqu,bagqu,bago,nuevo,bogu,b3gu,bago,mant~u,lomih,bago,ba7gu,baklu7,ba7guh,agu,antu,yeni,Xd8,bowon,bago,ba7ahu,bagu,nw~ebo,vayo,bayo,agu,NA,fiaro,bago,bag7~o,bagu,balo,bagu,bagu,ba7yu,ara
night,hiklom,gabi7ih,biNuet,gabi,soNom,labi,saNom,gabqe,gau,d3l3m,butaN,butaN,raobi,labi,gaqbi,daluman,dum,sa,gabi7i,dilim,gabi7,gaqbi,k3l3p,kalap,nEit,kloper,o,y3,maNmuo,gapi,yabi,daluman,ej,gabi,gabpi,nahadom,mahdom,labi,rabi,masi,kal3bian,magabi,gabqi,gabi,gEbi,labi,yo,sodop,kil3m,gabi,labi,labi,malabi,labi,beyi,gabi,pam,baNgi,gabi,ie,kahabzan,takep,ma7usilom,kadukil3m,m3rukil3m,sig3p,dolom,madusil3m,dukil3m,gabi,bahaNi,gagaoi7i,gabi,labi,vy~e,gobi,Sunu,magabi,gaqbi,gabqi,gaqbi,d3l3m,labi,saNom,gebi7i,gebi,gab7i,saNom,yabi,r3bi,koN maN,saNom,kalap,3y3,baNgi,gabqi,gebi,noCe,gobi,g3bii,duyom,dukilam,kifuh,gabi,d3l3m,labii,duum,dond~om,buteN,geje,ll,abi,gabi,saNem,gabi,noCe,mahep,ahep,putoN,NA,lafi,gabi,saNom,gabi,labi,gabi,gabi,abi,lafi
nose,iguN,iluN,aduN,iguN,uruN,aNal,uN,iloN,sudur,uruN,iluN,iluN,iduN,3N3l,quruN,iduN,iloN,bikei,iluN,uroN,iloN,quruN,duNos,duNas,noz,jiomint~ir,nina,nenE,ph~ei,iyoN,iruN,iduN,or,iguN,iruN,oloN,oloN,oloN,agoN,3g3N,3d3N,NiruN,quruN,iguN,iyuN,3N3l,hana,toduN,iruN,iluN,oNol,oNol,3l3N,373N,aruN,iroN,ko,duNuq,quruN,nana,iroN,ha7duN,iduN,simud,iruN,iduN,idoN,iduN,izuN,iluN,samo,iroN,iroN,oNo8,Salxka,oduN,xamar,iluN,qiluN,qiluN,quruN,uruN,eleN,NA,7aruN,3duN,7iluN,uung,baloNo,iluN,moh,uN,oroN,5ueni3,duNuq,qiruN,edoN,naris,suN,suN,iloN,NA,iluN,iloN,uruN,uruN,iluN,aduN,iruN,burun uj,apu,aNut,iroN,uN,iguN,naris,momodan,momodan,adoN,ilong,angor,iloN,uroN,iluN,eN,iluN,iluN,a7doN,ongor
not,NA,NA,NA,NA,NA,NA,NA,NA,ez,NA,NA,NA,NA,NA,NA,hari7,NA,NA,NA,NA,NA,NA,NA,NA,nat,NA,mitte,ei,NA,NA,balaw,hari7,nem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,de nai,NA,NA,NA,NA,NA,NA,NA,ali7,NA,ani,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,af,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oh ta,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,hindi,NA,NA,NA,NA,NA,deyil,NA,NA,NA,NA,NA,NA,beken,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
one,tatakdoy,isaxah,sipaN,tadday,isa7,3ho,isa,usa,bat,3sa,satu,satu,isa,3sa,qisad,sabuwa,isa,yi,usa,tam,sakabilog,qisad,Esa7,Esa,w3n,oy,uks,iksi,8uok,antet,usa,sabuwa,egy~,taday,sa7,oha,goha,goha,masa,sit,sak3y,isa,qisad,isa,isE,issa,hitocu,iso,isy~a,sambuk,ossa7an,osa,hak3y,3sa,metuN,sara,han,saruq,qosad,ikS,isa,supeg,isa,s3,s3b3ka,s3ba73n,sobad,sab3ka,s3v3ha,isa,damb~uwa7,isa,isad,osan,fka,isa7,nik,isa,saduq,qisad,qisad,3sa,sakey,dakayo7,7isaq,isa,7isa,isa,miha,sa,moi,isa,isaN,akt3,saluq,sayuq,isa7,uno,sala bok,sala,isa,sabad,sotuh,isa,3sa,tasa7,hambu7uk,ditakaw,uno,bir,aXd,isin,usa,isa7,tata,uno,asa,asa,NA,NA,osa,isa,NA,NA,esE,isa,isa,isa7,osa
path,dolan,daxan,didiman,dalan,lan,dalan,lan,NA,basabide,dalan,dalon,dalan,NA,dalan,dagan,dalan,dan,ho,dalan,NA,dalan,dalan,dilan,dilan,pE8,rakilan,te,tie,lou,dallan,dalan,dalan,it,dalan,dalan,awon,wanti,awon,dalan,b3nuwa,calan,lalan,dalan,dalen,dElEn,dadan,komiCi,lahan,dalan,dalan,dalan,dalan,dalan,da7an,dalan,NA,kil,dalan,dalan,rekriek,dalan,kanog,dalan,daan,dalan,dalan,dalan,dalan,dalan,daran,lan,lalan,dalan,ka8sa,yan,dalan,cam,lalan,daran,dalan,raran,dalan,NA,NA,dalan,dalan,dayan,laan,daan,daleN,troaN,lan,dalan,balka,dalan,dalan,dalan,senda,dalan,dalan,dayan,dalan,lan,dan,dalan,dalan,daan,dalan,aguwon,keCi yolu,ntb,bektas,dalan,lalan,daddaman,se*dero,rarahan,rarahan,teNaio,alagy~an,Caran,dalan,lalan,NA,danan,NA,NA,bakas,Caran
person,toloy,tawuh,agani,tolay,jomo,tatagu,a7a,tawo,gizaki,taw,to,to,lama,ipogaw,taqu,3taw,tao,xuoch~uo,tawu,katawan,tau7,tawu,tolay,agta7,%prs3n,bolto,inimene,%ihminen,neiN,tolay,tawu,3taw,ember,tolay,ulun,tagu,tagu,tagu,tao,tu7u,to7o,tau,tawu,tolay,tolEy,ta7o,hito,tuhun,itaw,utaw,tagu,tagu,tu7u,ipogaw,tau,tawo,saram,tawu,tawu,riStiN,ta7o,NA,otow,3t3w,3t3w,3taw,otaw,3t3w,3t3w,utaw,jama,taw,tawo,tagu,loma5,jolama,xuN,lanas,tahu,tawu,tawu,taw,to,a7a,ta7u,taw,tawu,a7a,tao,taw,Ne,NA,tawo,%almeCy~3,tawu,tawu,taw,persona,gotow,g3tau,tawo,manubu,ta7uh,tao,taw,tau7,ta7uh,ulun,etew,sah3s,adm,agta,tawo,a7a,tawlay,he*te,tao,tao,NA,tawo,tako,tao,a7a,utaw,ipogaw,utaw,utaw,ata,taku
rain,NA,NA,NA,NA,NA,NA,NA,NA,euri,NA,NA,NA,NA,NA,NA,uran,NA,NA,NA,NA,NA,NA,NA,NA,rein,NA,vim,sata,NA,NA,uran,uran,esi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ame,NA,NA,NA,NA,NA,NA,NA,uran,NA,pi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pizy~em,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mei,NA,NA,NA,NA,NA,NA,yuvia,NA,NA,NA,NA,NA,ulan,NA,NA,NA,NA,NA,yamur,NA,NA,NA,NA,NA,NA,cimoy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
red,NA,NA,NA,NA,NA,NA,NA,NA,gorri,NA,NA,NA,NA,NA,NA,maliga7,NA,NA,NA,NA,NA,NA,NA,NA,rEd,NA,punane,punainen,NA,NA,marara,maliga7,verez,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,akairo no,NA,NA,NA,NA,NA,NA,NA,lutu7,NA,pulkun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yaksty~ery~,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kei,NA,NA,NA,NA,NA,NA,roho,NA,NA,NA,NA,NA,pula,NA,NA,NA,NA,NA,k3rm3z3,NA,NA,NA,NA,NA,NA,vala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
root,NA,NA,NA,NA,NA,NA,NA,NA,erreboil,NA,NA,NA,NA,NA,NA,gamut,NA,NA,NA,NA,NA,NA,NA,NA,rut,NA,jur,juuri,NA,NA,gamut,gamut,gy~iker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ne,NA,NA,NA,NA,NA,NA,NA,emut,NA,buri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rei,NA,NA,NA,NA,NA,NA,rais,NA,NA,NA,NA,NA,ugat,NA,NA,NA,NA,NA,k3k,NA,NA,NA,NA,NA,NA,yamot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sand,NA,NA,NA,NA,NA,NA,NA,NA,hondar,NA,NA,NA,NA,NA,NA,grabas,NA,NA,NA,NA,NA,NA,NA,NA,sEnd,NA,liv,hiekka,NA,NA,baras,grabas,homok,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,suna,NA,NA,NA,NA,NA,NA,NA,balas,NA,morai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Suvar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prei,NA,NA,NA,NA,NA,NA,arena,NA,NA,NA,NA,NA,buhaNin,NA,NA,NA,NA,NA,kum,NA,NA,NA,NA,NA,NA,anay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
say,NA,NA,NA,NA,NA,NA,NA,NA,esan,NA,NA,NA,NA,NA,NA,ikagi,NA,NA,NA,NA,NA,NA,NA,NA,sei,NA,utle,sano,NA,NA,magkun,ikagi,monda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yu,NA,NA,NA,NA,NA,NA,NA,sabi,NA,mal ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,azoms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,desi,NA,NA,NA,NA,NA,sabi,NA,NA,NA,NA,NA,s3l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
see,mo7ito,kita7,ita,masiNan,Nenda7,ilo,and~a7,NA,ikusi,l37gan,t373n,t373n,NA,ila,kita,aha7,makita,kien,tanaw,intul,kita7,kita,meta7,ma7Ent~a,si,mosimsati,nage,nEke,kh~aN,itan,makakit,aha7,lat,masiNan,mata,tigo,tigon,tigon,kita,buya,on7an,ilai,bayad,nasiNan,mEsiNEn,mas3Nan,mi,kokito,kita,kita7,ilan,ila,un7an,ila,ikit,NA,po,qiliN,kita,nEdyo,kita,talu,pitow,kita,kita,ilag,kita7,kita,aha7,kita7,kita,ilay,magkita,ilan,5ayems,lotog,uci,ilay,taqnaw,kita,kita,l3gan,neNneN,nda,l3t3g,NA,batyag,3nda7,makit,makasilaw,honai,nda,kita7,vuen3,hiliN,qimug,biri7,ve,moktoNow,meta7,kita,kita,mton,tiNin,l3t3g,ita7,kimita7,kito,NA,g3r,amr,lawig,kita,kite,ita,mira,cita,NA,intoN,makita,ilaon,kita,kulaw,kita7,ilaen,yakita7,matanaw,mi7sul7aN,umila
sit,NA,NA,NA,NA,NA,NA,NA,NA,yarri,NA,NA,NA,NA,NA,NA,pinu7u,NA,NA,NA,NA,NA,NA,NA,NA,sit,NA,istu,istu,NA,NA,kumukaw,pinu7u,il,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,suwa,NA,NA,NA,NA,NA,NA,NA,lukluk,NA,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aSCy~ems ozada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oi a taN,NA,NA,NA,NA,NA,NA,senta,NA,NA,NA,NA,NA,upo,NA,NA,NA,NA,NA,otur,NA,NA,NA,NA,NA,NA,toratod,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
skin,tobbit,panit,gadaN,tabbi7,NA,uglet,kuwit,anit,azal,kulit,kulit,kindal,kubal,kopkop,kublit,laNgit,panit,p3u,panit,kulit,kulit,kulit,kulet,gadaN,%skin,%pil,nak,iho,ph~ui,gaddaN,tarik,laNgit,bir,tabi7,kulit,7up7up,up7up,up7up,kudil,kalib,bidat,upis,kulit,lublub,gEdEN,kopsit,kawa,kuhit,laNg~it,kindal,oblit,kupsit,b3lat,kollop,balat,panit,gopjil,qunit,kulit,nogyo,kindal,bala7kis,laplap,kindaa,lundis,kunul,kindal,laNgit,lundis,paris naN 7utaw,kuwit,anit,panit,kublit,kisy~ke,kulit,Ery~s,upis,panit,panit,kulit,kulit,balat,kuwit,kubal,NA,panit,kulit,katat,pisi,kea,kulit,panit,5alCy~a,panit,panit,kulit,piel,panit,panit,panit,NA,kulit,balat,lamilamit,ulit,pa7is,kuNk~uN,kulit,deri,Xoru,katat,panit,kuit,gaddaN,py~el,kolit,kodit,kulit,panit,koblet,panit,anit,palis,kopkop,palis,palis,balat,uglit
sleep,NA,NA,NA,NA,NA,NA,NA,NA,lo,NA,NA,NA,NA,NA,NA,tiruga,NA,NA,NA,NA,NA,NA,NA,NA,slip,NA,maga,nukku,NA,NA,maturug,tiruga,alud,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nemu,NA,NA,NA,NA,NA,NA,NA,tudtud,NA,Ca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,udoms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,koi,NA,NA,NA,NA,NA,NA,dormi,NA,NA,NA,NA,NA,tulog,NA,NA,NA,NA,NA,uyu,NA,NA,NA,NA,NA,NA,itkeh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
small,NA,NA,NA,NA,NA,NA,NA,NA,Ciki,NA,NA,NA,NA,NA,NA,aCu7ay,NA,NA,NA,NA,NA,NA,NA,NA,smal,NA,vaike,pieni,NA,NA,di7it,aCu7ay,kis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cisai,NA,NA,NA,NA,NA,NA,NA,malati,NA,Cakun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yomla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,toSin,NA,NA,NA,NA,NA,NA,peke5o,NA,NA,NA,NA,NA,malit,NA,NA,NA,NA,NA,kiCik,NA,NA,NA,NA,NA,NA,likey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smoke,NA,NA,NA,NA,NA,NA,NA,NA,pipaldi,NA,NA,NA,NA,NA,NA,ubul,NA,NA,NA,NA,NA,NA,NA,NA,smok,NA,suic,savu,NA,NA,anus,ubul,fist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kemuri,NA,NA,NA,NA,NA,NA,NA,asu,NA,yongi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kaCam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Noi,NA,NA,NA,NA,NA,NA,umo,NA,NA,NA,NA,NA,usok,NA,NA,NA,NA,NA,duman,NA,NA,NA,NA,NA,NA,aob,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
stand,NA,NA,NA,NA,NA,NA,NA,NA,zutik,NA,NA,NA,NA,NA,NA,hitind3g,NA,NA,NA,NA,NA,NA,NA,NA,stEnd,NA,seis,seiso,NA,NA,tumindug,hitind3g,all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tacu,NA,NA,NA,NA,NA,NA,NA,tikdo7,NA,so,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aSCy~ems sty~ada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SuoN,NA,NA,NA,NA,NA,NA,esta de pie,NA,NA,NA,NA,NA,tayo,NA,NA,NA,NA,NA,ayakta dur,NA,NA,NA,NA,NA,NA,tanek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
star,bitwon,bitu7un,NA,bituan,NA,talaw,bitu7un,bituqon,izar,panakunun,blotik,blatik,bitudn~,talaw,bitiqwin,bituon,bituon,Sisu,bitun,bitukon,biton,bituqun,biton,pusiyan,star,pisakol,tat,tEhti,8iN,bitun,pamgasan,bituon,Cillag,bitun,botun,bittuwon,bittuan,bittuwon,bituen,pand3k,talaw,bitu7un,bituqun,bituwan,bitwEn,bitow3n,hoSi,tombituon,bitu7un,bitun,bituwon,bituwon,talaw,talaw,batwin,biton,py~ol,bituqun,bituqun,NA,bito7on,NA,bitu7on,bitu73n,bitu73n,bitu73n,bito7on,bitu73n,bitu73n,bitu7un,potean,bito7on,bituon,bituwon,ty~aSty~e,bitu7on,ot,bitu,bituqun,bituqun,bituqun,panakonun,biteuen,bitun,bitu73n,bitu73n,bitu7un,bitu7un,bito73n,bituiN,holoN,mamahi,biton,naesti3,bituqun,bituqun,bituen,estreya,bitun,bitun,biton,NA,blotik,bituin,bitu7un,bitukun,bitu7un,butitin,gito7on,y3ld3z,kbkb,butatala,biton,bitu7un,bitun,estrely~a,mata no aNit,bitohen,paru,bito,taraw,bituon,bitu7on,bitun,talaw,bitu7un,bituun,bitu7in,fituwon
stone,botu,batu,karagatan,batu,NA,boto,batu,bEtu,harri,batu,batu,batu,batu,bato,batu,batu,bato,ca,batu,bato,bato7,batu,bito7,rusu7,ston,sabana,kivi,kivi,8uokth~au,batu,batu7,batu,ki,batu,batu,batu,batu,batu,bato,d3pgat,bato,watu,batu,batu,bEtu,bato,iSi,vatu,batu,batu,batu,batu,batu,bato,batu,NA,tol,gapuq,batu,kiuvkiu,bato,betu7,batu,batu,batu,batu,bato,batu,batu,batu,batu,wato,bato,batu,kev,batu,Ch~uLu,uatu,batu,batu,batu,batu,bato,batu,batu,batu,batu,batu,bato,batu,hmou,batu,bato,gierki3,batu,batu,bato,piedra,batu,batu,bato,NA,botuh,batu,batu,batu7,batu,batu,batew,taS,abn,beto,bato,batu,batu,py~edra,vato,bato,tali,bato,fiato,bato,bato,batu,bato,batu,batu,igaN,fatu
sun,NA,NA,laNit,NA,NA,NA,allaw,NA,eguzki,NA,NA,NA,NA,NA,qaldaw,aldaw,NA,ien,NA,aldaw,NA,qaldaw,NA,sENg~it,s3n,%astro,paike,aurinko,likth~au,NA,NA,aldaw,nap,NA,NA,NA,NA,NA,NA,NA,NA,NA,qaldiw,mata,NA,NA,%taiyo,tadau,adlaw,NA,NA,init,NA,NA,NA,adlaw,hE,qaldaw,qaldaw,pEvaliki,NA,degow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,odow,nar,sinaN,qardaw,qadlaw,qanriw,NA,NA,NA,7aldaw,3ld3w,7adlaw,NA,NA,NA,hai,NA,NA,bieyi3,qaldaw,qadlaw,NA,sol,NA,NA,NA,alo,NA,araw,NA,NA,NA,NA,teresaN,gineS,SapSu,NA,adlaw,NA,igaw,sol,NA,NA,mataNadau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
swim,NA,NA,NA,NA,NA,NA,NA,NA,igerika,NA,NA,NA,NA,NA,NA,sulip,NA,NA,NA,NA,NA,NA,NA,NA,swim,NA,uju,ui,NA,NA,lumaNuy,sulip,is,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oyogu,NA,NA,NA,NA,NA,NA,NA,kawe,NA,heom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uyems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kle tea,NA,NA,NA,NA,NA,NA,nada,NA,NA,NA,NA,NA,laNoy,NA,NA,NA,NA,NA,yiz,NA,NA,NA,NA,NA,NA,awawat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tail,NA,NA,NA,NA,NA,NA,NA,NA,buztan,NA,NA,NA,NA,NA,NA,ikug,NA,NA,NA,NA,NA,NA,NA,NA,tel,NA,saba,hEntE,NA,NA,ikug,ikug,farok,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,o,NA,NA,NA,NA,NA,NA,NA,iki7,NA,gori,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tiN,NA,NA,NA,NA,NA,NA,kola,NA,NA,NA,NA,NA,buntoto,NA,NA,NA,NA,NA,kuruk,NA,NA,NA,NA,NA,NA,ipos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
that,NA,NA,NA,NA,NA,NA,NA,NA,hori,NA,NA,NA,NA,NA,NA,hayan,NA,NA,NA,NA,NA,NA,NA,NA,8Et,NA,to,tuo,NA,NA,tunda,hayan,az,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sono,NA,NA,NA,NA,NA,NA,NA,ian,NA,kugot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sy~a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,me,NA,NA,NA,NA,NA,NA,ese,NA,NA,NA,NA,NA,iyan,NA,NA,NA,NA,NA,Su,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
this,NA,NA,NA,NA,NA,NA,NA,NA,hauSe,NA,NA,NA,NA,NA,NA,iyan,NA,NA,NA,NA,NA,NA,NA,NA,8is,NA,se,tEmE,NA,NA,inda,iyan,ez,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kono,NA,NA,NA,NA,NA,NA,NA,ini,NA,igot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ty~a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ko,NA,NA,NA,NA,NA,NA,este,NA,NA,NA,NA,NA,ito,NA,NA,NA,NA,NA,bu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tongue,hilo,dila7,NA,jila,NA,dilo,della7,rilaq,mihi,dila7,dilo7,dila7,dila,dila,dilaq,dila7,dila,crta,dila,dila,dila7,dilaq,dila7,dila7,t3N,golitas,kel,kieli,ch~uiliek,dila,dila7,dila7,5elv,zila,dila7,dila,dila,dila,dila,limut,Cila,dila7,riraq,dila,hilE,dila,Sita,diha,dila7,dila7,dila,dila,dila,dila,dila7,dila,hy~o,dilaq,riraq,kyel,dila7,katlub,dilo7,dila7,dila7,dila7,dila7,dil37,dila7,dila7,dala7,dila7,dila,dela,kaly~,dila7,xiL,dila,dilaq,dilaq,dilaq,dila7,dila,NA,dila7,dila7,dila7,d3lla7,dila7,dila,rope,dela7,dila7,5oekCy~em3,dilaq,dilaq,dila7,lengw~a,dila7,dila7,dila,NA,dilak,dila,dila,dilak,dila7,dila7,dila7,dil,laSanu,dila,dila,dela7,dila,le*Nw~a,lila,rida,dilo,dila,Cila,dila7,dala7,dila7,dila,dila7,dila7,dila7,Cila
